Place_Name,Latitude,Longitude,parking,train_station,taxi_stand,gas_station,movie_theater,airport,shopping_mall
Shiva Road,28.7088294,77.1183295,9,0,3,12,3,0,20
Major Hoshiar Dahiya Marg,28.7299563,77.09305189999999,2,0,0,6,0,0,16
CDI Lane,28.5979488,77.0359984,4,0,0,14,0,0,4
Parking,28.6572169,77.14754139999999,4,1,1,10,5,0,2
Pipal Wala Road,28.6278824,77.03930679999999,1,0,0,0,0,0,4
Kalka Das Marg,28.5241981,77.1834954,9,0,0,4,0,0,12
Central Road,28.5969658,77.0494016,4,0,4,18,1,1,5
Outer Ring Road,28.7016699,77.1277298,5,0,2,3,0,0,20
"39-47, Church Rd",28.5818177,77.24846269999999,1,2,3,9,2,1,5
Lala Lajpat Rai Road,28.5733839,77.23765259999999,8,1,1,2,3,0,5
Hauz Khas Road,28.5508094,77.206718,16,1,4,11,2,0,1
Shaheed Jagat Narayan Marg,28.7015377,77.13495379999999,11,0,1,4,1,0,15
"18, Polo Garden Rd",28.6196089,77.03251229999999,5,0,0,0,1,0,17
Ramphal Chowk Road,28.5878352,77.07149729999999,2,0,2,7,0,0,5
Najafgarh Road,28.6544999,77.13629929999999,4,2,1,3,3,1,8
"26, Adhchini Rd",28.5384848,77.1987948,9,1,2,4,1,0,7
Lodhi Road,28.590903,77.22716059999999,3,0,2,8,1,0,10
Ashoka Police Lane,28.5999363,77.1985553,1,0,1,11,0,1,5
Mahatma Gandhi Marg,28.5688529,77.21522689999999,13,0,1,10,1,0,1
