Device_Code,Alarm_Type,Count,Device_Percentage_Count,Alarm_Type_Percentage_Count,Overall_Percentage_Count
864504031502210,PCW,444,8.922829581993568,2.5931550052563956,0.30036327720689215
864504031502210,FCW,381,7.656752411575562,1.518412242945959,0.2577441635491574
864504031502210,Overspeed,2086,41.92122186495177,10.839179007534424,1.4111662077783265
864504031502210,HMW,657,13.203376205787782,2.584985835694051,0.4444564710020904
864504031502210,UFCW,1406,28.2556270096463,2.3797031294957938,0.9511503778218251
864504031502210,LDWL,2,0.04019292604501608,0.1984126984126984,0.0013529877351661807
863977033764239,PCW,842,7.892763404574428,4.917649807265506,0.569607836504962
863977033764239,UFCW,2978,27.915260592425945,5.04036694142139,2.014598737662443
863977033764239,FCW,2249,21.081739782527183,8.963016100749241,1.5214347081943702
863977033764239,HMW,3076,28.83389576302962,12.102612527541707,2.080895136685586
863977033764239,Overspeed,1285,12.045369328833896,6.677058976357496,0.8692946198442711
863977033764239,LDWL,139,1.3029621297337832,13.789682539682541,0.09403264759404956
863977033764239,LDWR,99,0.9280089988751405,11.578947368421053,0.06697289289072594
863977033888558,Overspeed,496,25.241730279898217,2.5772928033255393,0.3355409583212128
863977033888558,HMW,761,38.72773536895674,2.9941768964431854,0.5148118332307318
863977033888558,FCW,225,11.450381679389313,0.8967001434720229,0.15221112020619534
863977033888558,UFCW,407,20.712468193384222,0.6888614322224667,0.2753330041063178
863977033888558,LDWL,18,0.9160305343511451,1.7857142857142856,0.012176889616495627
863977033888558,PCW,49,2.4936386768447836,0.2861815208503679,0.03314819951157143
863977033888558,LDWR,9,0.45801526717557256,1.0526315789473684,0.0060884448082478134
863977033703997,HMW,427,12.147937411095306,1.680044066729619,0.28886288145797956
863977033703997,FCW,330,9.388335704125177,1.3151602104256337,0.22324297630241982
863977033703997,UFCW,1458,41.47937411095306,2.4677149095340454,0.9863280589361457
863977033703997,PCW,774,22.0199146514936,4.520499941595608,0.523606253509312
863977033703997,Overspeed,525,14.935988620199147,2.7279812938425563,0.35515928048112244
863977033703997,LDWL,1,0.028449502133712664,0.0992063492063492,0.0006764938675830903
863977033766374,UFCW,1995,14.70371462264151,3.37660579185214,1.3496052658282651
863977033766374,FCW,5394,39.75530660377358,21.49689143950263,3.6490079217431894
863977033766374,HMW,4021,29.635908018867923,15.820742839156438,2.7201818415516064
863977033766374,PCW,927,6.832252358490567,5.414087139352879,0.6271098152495247
863977033766374,Overspeed,624,4.599056603773585,3.242400623538581,0.4221321733718484
863977033766374,LDWR,304,2.240566037735849,35.55555555555556,0.20565413574525948
863977033766374,LDWL,303,2.233195754716981,30.059523809523807,0.2049776418776764
864504031205202,PCW,739,13.243727598566307,4.316084569559631,0.49992896814390375
864504031205202,UFCW,2399,42.99283154121864,4.060389621380092,1.6229087883318338
864504031205202,HMW,832,14.910394265232977,3.2735284859930753,0.5628428978291312
864504031205202,Overspeed,382,6.845878136200717,1.984931150948298,0.25842065741674053
864504031205202,FCW,1143,20.483870967741936,4.555236728837877,0.7732324906474723
864504031205202,LDWR,54,0.967741935483871,6.315789473684211,0.03653066884948688
864504031205202,LDWL,31,0.5555555555555556,3.075396825396825,0.0209713098950758
864504031819929,FCW,686,11.46773654296222,2.7339391040969234,0.46407479316199995
864504031819929,UFCW,2359,39.4349715814109,3.992688252119899,1.5958490336285103
864504031819929,PCW,1057,17.669675693747912,6.173344235486509,0.7150540180353265
864504031819929,Overspeed,1115,18.639251086593113,5.793712652637049,0.7542906623551457
864504031819929,HMW,752,12.571046472751588,2.9587661315706644,0.5087233884224839
864504031819929,LDWL,10,0.1671681711802073,0.992063492063492,0.006764938675830903
864504031819929,LDWR,3,0.05015045135406219,0.3508771929824561,0.002029481602749271
864504031235647,PCW,675,14.491197939029627,3.942296460693844,0.456633360618586
864504031235647,Overspeed,1018,21.854873336195794,5.289685632631853,0.688670757199586
864504031235647,UFCW,1844,39.58780592528983,3.121033122894911,1.2474546918232186
864504031235647,HMW,559,12.000858737655646,2.1994019515265975,0.3781600719789475
864504031235647,FCW,535,11.485616144267926,2.1321536744779213,0.3619242191569534
864504031235647,LDWL,21,0.4508372692142551,2.083333333333333,0.014206371219244897
864504031235647,LDWR,6,0.12881064834693,0.7017543859649122,0.004058963205498542
864504031432707,UFCW,3286,83.06370070778564,5.561667484724878,2.2229588488780347
864504031432707,HMW,118,2.982810920121335,0.46427447277305633,0.07982627637480466
864504031432707,PCW,407,10.288169868554094,2.3770587548183624,0.2753330041063178
864504031432707,FCW,50,1.2639029322548028,0.19926669854933846,0.033824693379154516
864504031432707,Overspeed,95,2.4014155712841254,0.4936347103143674,0.06426691742039357
864504031234988,UFCW,652,100.0,1.1035323189411506,0.44107400166417493
863977033828919,UFCW,6326,47.18782634641205,10.706971548499569,4.2795002063306296
863977033828919,PCW,1639,12.225869013874386,9.572479850484756,1.1087734489686851
863977033828919,HMW,1994,14.873937043115024,7.845451683978596,1.3489287719606822
863977033828919,FCW,1871,13.956437416082352,7.456559859716244,1.265720026247962
863977033828919,Overspeed,1520,11.338206773086677,7.898155365029878,1.0282706787262972
863977033828919,LDWL,34,0.253617783082202,3.373015873015873,0.023000791497825072
863977033828919,LDWR,22,0.16410562434730716,2.5730994152046787,0.01488286508682799
863977033895017,PCW,316,10.06049028971665,1.845578787524822,0.21377206215625655
863977033895017,UFCW,956,30.43616682585164,1.6180627253186197,0.6467281374094345
863977033895017,HMW,852,27.1251193887297,3.352219074598678,0.576372775180793
863977033895017,FCW,828,26.36103151862464,3.2998565279770444,0.5601369223587989
