Ward_Name,Alarm_Type,Count,Ward_Percentage_Count,Alarm_Type_Percentage_Count,Overall_Percentage_Count
Kadugodi,PCW,2297,14.869238736406007,13.415488844761125,1.5539064138383585
Kadugodi,HMW,2059,13.328586224754012,8.101196096946806,1.392900873353583
Kadugodi,UFCW,6071,39.299585706887626,10.275375319465835,4.1069942700969415
Kadugodi,Overspeed,2369,15.33531848783014,12.309690828786698,1.602613972304341
Kadugodi,FCW,2541,16.448731227343348,10.12673362027738,1.7189709175286325
Kadugodi,LDWR,79,0.5113930605903677,9.239766081871345,0.05344301553906414
Kadugodi,LDWL,32,0.20714655618850336,3.1746031746031744,0.02164780376265889
Garudachar Playa,FCW,1046,17.831571769519265,4.16865933365216,0.7076125854919125
Garudachar Playa,UFCW,1834,31.26491646778043,3.104107780579862,1.2406897531473877
Garudachar Playa,HMW,965,16.45073303784521,3.7968209002203337,0.6528165822176822
Garudachar Playa,PCW,1017,17.337197408796452,5.939726667445392,0.687994263332003
Garudachar Playa,Overspeed,957,16.31435390385271,4.972720187061574,0.6474046312770175
Garudachar Playa,LDWL,28,0.47732696897374705,2.7777777777777777,0.018941828292326532
Garudachar Playa,LDWR,19,0.3239004432321855,2.2222222222222223,0.012853383484078718
Hudi,Overspeed,3202,28.39659453706988,16.63808781501689,2.1661333640010554
Hudi,PCW,832,7.378503015253636,4.859245415255227,0.5628428978291312
Hudi,HMW,2083,18.47286271727563,8.195624803273528,1.4091367261755772
Hudi,UFCW,3152,27.95317488471089,5.334867897703231,2.1323086706219008
Hudi,FCW,1740,15.431003902092941,6.9344811095169785,1.177099329594577
Hudi,LDWL,142,1.2593118126995388,14.087301587301587,0.09606212919679884
Hudi,LDWR,125,1.1085491308974813,14.619883040935672,0.08456173344788628
Other,HMW,977,26.94429123000552,3.8440352533836952,0.6609345086286793
Other,FCW,939,25.89630446773304,3.7422285987565758,0.6352277416605218
Other,UFCW,937,25.8411472697187,1.5859045749200278,0.6338747539253556
Other,PCW,500,13.789299503585218,2.9202196005139585,0.33824693379154513
Other,Overspeed,96,2.647545504688362,0.49883086515978176,0.06494341128797668
Other,LDWL,99,2.7302813017098733,9.821428571428571,0.06697289289072594
Other,LDWR,78,2.151130722559294,9.12280701754386,0.05276652167148105
Devasandra,UFCW,515,42.28243021346469,0.8716551292249886,0.34839434180529155
Devasandra,PCW,66,5.41871921182266,0.3854689872678425,0.04464859526048396
Devasandra,FCW,162,13.30049261083744,0.6456241032998565,0.10959200654846064
Devasandra,HMW,143,11.74055829228243,0.5626377085300598,0.09673862306438193
Devasandra,Overspeed,326,26.76518883415435,1.693946479605092,0.22053700083208747
Devasandra,LDWL,1,0.08210180623973727,0.0992063492063492,0.0006764938675830903
Devasandra,LDWR,5,0.41050903119868637,0.5847953216374269,0.0033824693379154516
Hagadur,PCW,2050,12.61150415256844,11.97290036210723,1.3868124285453354
Hagadur,HMW,2952,18.160565979698553,11.614730878186968,1.9970098971052828
Hagadur,FCW,3035,18.671178099046447,12.095488601944842,2.053158888114679
Hagadur,UFCW,6857,42.183943402030145,11.605707225428635,4.638718450017251
Hagadur,LDWL,161,0.9904644724700092,15.972222222222221,0.10891551268087755
Hagadur,LDWR,95,0.584435558289757,11.11111111111111,0.06426691742039357
Hagadur,Overspeed,1105,6.797908335896648,5.741751104182905,0.7475257236793148
Bellanduru,Overspeed,1654,19.342766927844696,8.594440114315406,1.1189208569824316
Bellanduru,HMW,2011,23.51771722605543,7.912338684293359,1.3604291677095945
Bellanduru,FCW,1159,13.553970295871828,4.619002072373665,0.7840563925288018
Bellanduru,UFCW,2967,34.69769617588586,5.021749064874837,2.007157305119029
Bellanduru,PCW,674,7.882119050403462,3.9364560214928166,0.4559568667510029
Bellanduru,LDWL,47,0.5496433165711613,4.662698412698413,0.03179521177640524
Bellanduru,LDWR,39,0.4560870073675593,4.56140350877193,0.026383260835740524
Marathahalli,LDWL,6,0.2823529411764706,0.5952380952380952,0.004058963205498542
Marathahalli,HMW,395,18.58823529411765,1.5541391249606546,0.2672150776953207
Marathahalli,Overspeed,33,1.5529411764705883,0.17147310989867498,0.02232429763024198
Marathahalli,FCW,391,18.4,1.5582655826558265,0.26450910222498836
Marathahalli,PCW,113,5.31764705882353,0.6599696297161547,0.07644380703688922
Marathahalli,UFCW,1182,55.62352941176471,2.0005754616387117,0.7996157514832128
Marathahalli,LDWR,5,0.2352941176470588,0.5847953216374269,0.0033824693379154516
Dodda Nekkundi,Overspeed,1576,14.245683810901202,8.189140036373084,1.0661543353109504
Dodda Nekkundi,HMW,1383,12.50112989243424,5.4414542020774315,0.9355910188674139
Dodda Nekkundi,FCW,1570,14.19144897405767,6.256974334449226,1.0620953721054518
Dodda Nekkundi,LDWL,41,0.3706047184308054,4.067460317460317,0.027736248570906705
Dodda Nekkundi,UFCW,5229,47.26566030913857,8.850261496538767,3.53738643359198
Dodda Nekkundi,PCW,1242,11.226611226611228,7.253825487676674,0.8402053835381982
Dodda Nekkundi,LDWR,22,0.19886106842628581,2.5730994152046787,0.01488286508682799
Varthuru,UFCW,2145,52.088392423506555,3.6304859265778653,1.451079345965729
Varthuru,HMW,794,19.28120446818844,3.12401636764243,0.5371361308609738
Varthuru,Overspeed,258,6.26517727051967,1.3406079501169135,0.1745354178364373
Varthuru,FCW,591,14.351627003399708,2.35533237685318,0.3998078757416064
Varthuru,PCW,296,7.1879553181155895,1.7287700035042635,0.20024218480459477
Varthuru,LDWR,11,0.26711996114618747,1.2865497076023393,0.007441432543413995
