Alarm_Type,Count,Percentage_Count
PCW,17122,11.582928000757674
FCW,25092,16.974584125394905
Overspeed,19245,13.019124481636574
HMW,25416,17.193768138491823
UFCW,59083,39.969287178411726
LDWL,1008,0.6819058185237551
LDWR,855,0.5784022567835423
