X,Y
76.72659615,28.1892809
76.72706493,28.20248721
76.73123365,28.1924467
76.73113715,28.1925406
76.73838335,28.2001985
76.73764074,28.19689456
76.74045945,28.1991082
76.7410171,28.19870564
76.7436058,28.1985364
76.73852997,28.20029859
76.74150875,28.1998252
76.74207895,28.20022695
76.7433371,28.20115005
76.74512,28.19924945
76.74963172,28.20299174
76.75053122,28.20346062
76.7475181,28.20358985
76.7662337,28.2048253
76.78115664,28.2049884
76.78037138,28.20482345
76.79096455,28.195259
76.78384615,28.20536715
76.786042,28.2059659
76.7860191,28.2060461
76.7882208,28.20662355
76.79173796,28.20785751
76.79165756,28.20792536
76.7919455,28.2072752
76.79264877,28.20887599
76.81226825,28.19574355
76.8117706,28.19641035
76.81142425,28.20588775
76.81509542,28.20672193
76.80588855,28.2080909
76.81467444,28.20807986
76.79474875,28.21490125
76.8004915,28.22558335
76.80469475,28.23123195
76.80662745,28.23379595
76.81002646,28.23827378
76.8573264,28.1849153
76.8572193,28.1858822
76.85654965,28.18902786
76.8562326,28.18945805
76.85626999,28.18947747
76.8605563,28.1895414
76.85823891,28.18938665
76.8328446,28.194677
76.8321944,28.19506965
76.8334691,28.1956683
76.83379305,28.19605035
76.8342156,28.1964527
76.83495205,28.19518005
76.8362244,28.1949482
76.8384123,28.1937786
76.837238,28.1962705
76.83838525,28.19494955
76.8325249,28.19653795
76.82800854,28.20127352
76.82898275,28.20111725
76.83125105,28.2003146
76.8328025,28.2005353
76.83159905,28.20149495
76.8335843,28.19704075
76.83508195,28.1976777
76.8355411,28.1987639
76.8366797,28.19744805
76.8331206,28.19961285
76.8334474,28.2001737
76.8365492,28.2000874
76.83768925,28.19876745
76.8359678,28.20053205
76.8233171,28.20260725
76.8246103,28.20327345
76.8220894,28.20291562
76.82338915,28.20443185
76.82514575,28.20220665
76.8256068,28.20298495
76.82473475,28.2039087
76.82496225,28.2049711
76.82508865,28.20496935
76.82820975,28.20502775
76.8257929,28.206388
76.82726335,28.20627235
76.82858157,28.20706109
76.8288511,28.20815217
76.82814135,28.20194744
76.82914,28.2024079
76.82878615,28.20246555
76.82958575,28.2020274
