Modal_Price,Price_Date
1041,10-04-2006
1050,10-05-2006
1029,10-06-2006
1060,10-07-2006
975,10-08-2006
1062,10-09-2006
1011,10-10-2006
1051,10-11-2006
1010,10-12-2006
1110,10/13/2006
1010,10/14/2006
1025,10/15/2006
1025,10/16/2006
1025,10/17/2006
1000,10/18/2006
1000,10/20/2006
1020,10/25/2006
1011,10/26/2006
1041,10/27/2006
1011,10/28/2006
1090,10/30/2006
1112,10/31/2006
1113,11-01-2006
1125,11-03-2006
1113,11-04-2006
1122,11-06-2006
1125,11-07-2006
1125,11-08-2006
1125,11-09-2006
1148,11-10-2006
1102,11-11-2006
1180,11/13/2006
1149,11/14/2006
1145,11/15/2006
1145,11/16/2006
1143,11/17/2006
1168,11/18/2006
1000,11/19/2006
1025,11/20/2006
1220,11/21/2006
1121,11/27/2006
1050,11/28/2006
1000,11/29/2006
1132,11/30/2006
1000,12-01-2006
1025,12-03-2006
1127,12-04-2006
1125,12-05-2006
1167,12-06-2006
1015,12-08-2006
1145,12-09-2006
1088,12-10-2006
1205,12-12-2006
1230,12/13/2006
1230,12/15/2006
1000,12/16/2006
1150,12/17/2006
1200,12/18/2006
1000,12/22/2006
1050,12/23/2006
1138,12/24/2006
1060,12/25/2006
1025,12/26/2006
1000,12/27/2006
1165,12/28/2006
1222,12/29/2006
1147,12/30/2006
1125,12/31/2006
1287,01-03-2007
1233,01-04-2007
1195,01-05-2007
1147,01-06-2007
1125,01-07-2007
1175,01-11-2007
1145,01-12-2007
1212,1/13/2007
1125,1/14/2007
1115,1/16/2007
1115,1/17/2007
1225,1/20/2007
1137,1/21/2007
1080,1/22/2007
1265,1/23/2007
1115,1/27/2007
1010,1/28/2007
1085,1/29/2007
1051,1/30/2007
1085,1/31/2007
1087,02-01-2007
1056,02-02-2007
1050,02-04-2007
965,02-05-2007
1075,02-06-2007
1057,02-07-2007
1057,02-08-2007
1070,02-09-2007
1113,02-10-2007
1100,02-11-2007
1087,02-12-2007
1114,2/13/2007
1115,2/14/2007
1094,2/15/2007
1048,2/16/2007
1025,2/17/2007
1025,2/18/2007
1012,2/19/2007
970,2/20/2007
962,2/21/2007
935,2/22/2007
985,2/23/2007
950,2/24/2007
1010,2/25/2007
957,2/26/2007
934,2/27/2007
920,2/28/2007
916,03-01-2007
905,03-02-2007
900,03-04-2007
927,03-05-2007
890,03-06-2007
895,03-07-2007
938,03-08-2007
945,03-09-2007
927,03-10-2007
960,03-12-2007
941,3/13/2007
959,3/14/2007
992,3/15/2007
995,3/16/2007
1006,3/17/2007
975,3/18/2007
1008,3/19/2007
982,3/20/2007
1020,3/21/2007
1020,3/22/2007
1085,3/23/2007
1048,3/24/2007
1028,3/26/2007
1043,3/27/2007
1023,3/28/2007
1025,3/29/2007
1003,3/30/2007
1013,3/31/2007
1000,04-01-2007
1026,04-02-2007
1016,04-03-2007
1020,04-04-2007
1010,04-05-2007
1000,04-06-2007
1000,04-07-2007
1005,04-08-2007
1020,04-09-2007
1010,04-10-2007
1126,04-11-2007
1074,04-12-2007
1110,4/13/2007
970,4/15/2007
1000,4/16/2007
970,4/17/2007
970,4/18/2007
950,4/19/2007
970,4/20/2007
955,4/22/2007
955,4/23/2007
965,4/24/2007
965,4/25/2007
950,4/26/2007
950,4/27/2007
930,4/28/2007
965,4/29/2007
975,4/30/2007
930,05-04-2007
940,05-05-2007
930,05-06-2007
930,05-07-2007
1100,05-12-2007
970,5/15/2007
925,5/16/2007
930,5/18/2007
925,5/20/2007
920,5/21/2007
925,5/22/2007
930,5/23/2007
930,5/25/2007
915,5/26/2007
950,5/29/2007
960,5/30/2007
947,06-01-2007
951,06-02-2007
960,06-03-2007
1075,06-04-2007
1046,06-05-2007
1040,06-06-2007
1010,06-07-2007
1010,06-08-2007
1022,06-09-2007
925,06-10-2007
1010,06-11-2007
1022,06-12-2007
1020,6/13/2007
1003,6/14/2007
975,6/15/2007
1019,6/16/2007
1024,6/18/2007
940,6/19/2007
1020,6/20/2007
950,6/22/2007
1006,6/23/2007
1044,6/25/2007
1044,6/26/2007
1049,6/27/2007
1044,6/29/2007
1043,6/30/2007
1045,07-02-2007
1040,07-03-2007
1065,07-04-2007
1045,07-05-2007
1075,07-06-2007
1065,07-07-2007
1082,07-09-2007
1070,07-10-2007
1070,07-11-2007
925,7/15/2007
1045,7/17/2007
2400,7/18/2007
1050,7/19/2007
1050,7/20/2007
925,7/21/2007
950,7/23/2007
1000,7/24/2007
950,7/25/2007
1065,7/26/2007
1000,7/27/2007
1039,7/28/2007
1074,7/30/2007
1073,7/31/2007
1092,08-01-2007
1051,08-02-2007
1034,08-03-2007
1034,08-04-2007
1040,08-05-2007
1014,08-06-2007
1026,08-07-2007
1026,08-08-2007
1028,08-09-2007
1038,08-10-2007
1026,08-11-2007
1090,08-12-2007
1036,8/13/2007
1031,8/14/2007
1040,8/16/2007
1034,8/17/2007
1030,8/19/2007
1035,8/20/2007
1035,8/21/2007
1030,8/22/2007
1030,8/24/2007
1040,8/26/2007
950,8/27/2007
960,8/28/2007
1000,8/29/2007
1054,8/30/2007
1070,8/31/2007
1100,09-01-2007
1025,09-02-2007
1000,09-03-2007
950,09-04-2007
850,09-05-2007
1042,09-07-2007
950,09-08-2007
1060,09-12-2007
1075,9/13/2007
1065,9/14/2007
1025,9/16/2007
950,9/17/2007
1087,9/18/2007
1100,9/21/2007
1000,9/22/2007
1000,9/24/2007
1057,9/26/2007
1040,10-02-2007
1026,10-03-2007
1000,10-07-2007
1050,10-09-2007
1025,10-10-2007
1075,10-11-2007
1075,10/13/2007
1060,10/15/2007
1065,10/16/2007
1075,10/17/2007
1050,10/18/2007
950,10/19/2007
1080,10/20/2007
1095,10/24/2007
950,10/26/2007
1000,10/27/2007
950,10/29/2007
1101,11-01-2007
1000,11-02-2007
1000,11-03-2007
1075,11-04-2007
1075,11-06-2007
1045,11/13/2007
1065,11/14/2007
1085,11/16/2007
1110,11/18/2007
1000,11/19/2007
1000,11/24/2007
1000,11/30/2007
950,12-03-2007
1000,12-05-2007
1000,12-07-2007
1050,12-08-2007
1000,12-10-2007
1000,12/16/2007
1050,12/18/2007
1112,12/27/2007
1000,12/28/2007
1020,12/29/2007
1000,01-06-2008
1044,01-10-2008
1083,01-11-2008
1035,1/13/2008
1000,1/18/2008
1020,1/20/2008
1000,1/21/2008
1050,1/22/2008
1095,1/23/2008
1094,1/24/2008
1000,1/25/2008
1020,1/27/2008
1045,1/28/2008
1051,1/29/2008
1068,1/30/2008
1035,02-03-2008
1112,02-05-2008
1069,02-06-2008
1087,02-07-2008
1076,02-08-2008
1030,02-10-2008
1048,02-12-2008
1063,2/13/2008
1090,2/14/2008
1107,2/15/2008
1081,2/16/2008
1107,2/19/2008
1050,2/20/2008
950,2/21/2008
1146,2/22/2008
1075,2/23/2008
1230,2/24/2008
1129,2/25/2008
1168,2/26/2008
1070,2/27/2008
1105,2/28/2008
1100,2/29/2008
1191,03-01-2008
1000,03-02-2008
1131,03-03-2008
1130,03-04-2008
1130,03-05-2008
1145,03-07-2008
1163,03-09-2008
1187,03-10-2008
1200,03-11-2008
1145,03-12-2008
1195,3/13/2008
1189,3/14/2008
1189,3/15/2008
1050,3/16/2008
1163,3/17/2008
1113,3/18/2008
1150,3/19/2008
1107,3/20/2008
1100,3/24/2008
1082,3/25/2008
1125,3/26/2008
1038,3/27/2008
1136,3/28/2008
1000,3/29/2008
1088,3/30/2008
1092,3/31/2008
1050,04-01-2008
1082,04-02-2008
1058,04-03-2008
1100,04-04-2008
1290,04-05-2008
950,04-08-2008
1021,04-09-2008
1072,04-10-2008
1000,4/13/2008
1010,4/15/2008
975,4/16/2008
1020,4/22/2008
1000,4/23/2008
900,4/24/2008
1000,4/28/2008
1035,4/29/2008
1000,4/30/2008
1125,05-04-2008
975,05-06-2008
1100,05-07-2008
1167,05-08-2008
1150,05-09-2008
1025,05-11-2008
1025,5/18/2008
1185,5/23/2008
1000,5/24/2008
1000,5/25/2008
1190,5/26/2008
1050,06-02-2008
1050,06-03-2008
1167,6/27/2008
1112,6/28/2008
1210,7/29/2008
1240,7/30/2008
1225,08-07-2008
1195,08-08-2008
1091,08-12-2008
1100,8/28/2008
1100,09-05-2008
1079,09-11-2008
1080,9/15/2008
1076,9/23/2008
1065,9/24/2008
1070,9/26/2008
